seed,epoch,loss_A,loss_B,eval_set,A_EM,B_EM,A_PD,B_PD
1,300,0.0005,0.0008,6dig,1.7,1.0,64.6,60.6
2,1,2.5939,1.3852,id,0.0,0.1,0.0,20.9
2,1,2.5939,1.3852,5dig,0.0,0.0,0.0,20.0
2,1,2.5939,1.3852,6dig,0.0,0.0,0.0,18.4
2,6,0.8099,0.4079,id,0.1,3.5,24.1,59.2
2,6,0.8099,0.4079,5dig,0.0,0.4,23.2,50.6
2,6,0.8099,0.4079,6dig,0.0,0.0,21.0,43.5
2,11,0.7097,0.1858,id,0.2,33.2,34.3,81.6
2,11,0.7097,0.1858,5dig,0.0,7.7,31.7,69.6
2,11,0.7097,0.1858,6dig,0.0,1.6,28.8,61.1
2,16,0.5737,0.075,id,1.1,81.1,48.3,95.8
2,16,0.5737,0.075,5dig,0.1,9.7,43.0,77.9
2,16,0.5737,0.075,6dig,0.0,0.6,37.5,63.6
2,21,0.3601,0.0373,id,9.2,98.1,67.7,99.6
2,21,0.3601,0.0373,5dig,1.3,15.8,58.1,81.4
2,21,0.3601,0.0373,6dig,0.1,0.3,49.9,59.6
2,26,0.1874,0.0212,id,59.5,98.7,90.1,99.7
2,26,0.1874,0.0212,5dig,15.0,10.4,76.8,77.2
2,26,0.1874,0.0212,6dig,1.8,0.1,65.6,56.4
2,31,0.0977,0.0142,id,97.6,99.3,99.5,99.8
2,31,0.0977,0.0142,5dig,43.9,28.5,88.6,84.6
2,31,0.0977,0.0142,6dig,1.9,0.1,68.0,56.2
2,36,0.0603,0.0107,id,99.4,99.7,99.9,99.9
2,36,0.0603,0.0107,5dig,45.1,34.6,88.8,85.8
2,36,0.0603,0.0107,6dig,0.5,0.1,62.0,56.0
2,41,0.0417,0.0084,id,99.4,99.7,99.9,99.9
2,41,0.0417,0.0084,5dig,52.1,33.8,90.8,85.9
2,41,0.0417,0.0084,6dig,0.5,0.1,61.5,54.1
2,46,0.0309,0.0069,id,99.8,99.4,99.9,99.9
2,46,0.0309,0.0069,5dig,44.0,20.6,88.7,79.5
2,46,0.0309,0.0069,6dig,0.2,0.0,58.5,53.1
2,51,0.0241,0.0056,id,99.5,99.8,99.9,100.0
2,51,0.0241,0.0056,5dig,67.9,40.8,94.1,86.9
2,51,0.0241,0.0056,6dig,0.8,0.0,63.8,53.9
2,56,0.0195,0.0053,id,99.9,99.8,100.0,100.0
2,56,0.0195,0.0053,5dig,33.1,65.6,86.1,93.6
2,56,0.0195,0.0053,6dig,0.3,0.0,56.6,56.1
2,61,0.0163,0.0037,id,99.7,100.0,99.9,100.0
2,61,0.0163,0.0037,5dig,67.4,21.2,94.0,81.1
2,61,0.0163,0.0037,6dig,0.8,0.0,64.2,51.4
2,66,0.015,0.0033,id,100.0,99.9,100.0,100.0
2,66,0.015,0.0033,5dig,53.8,66.0,91.3,93.7
2,66,0.015,0.0033,6dig,1.0,0.1,63.3,55.4
2,71,0.0122,0.0034,id,100.0,100.0,100.0,100.0
2,71,0.0122,0.0034,5dig,58.0,70.1,92.2,94.5
2,71,0.0122,0.0034,6dig,0.7,0.2,62.6,57.0
2,76,0.0104,0.0027,id,99.8,100.0,100.0,100.0
2,76,0.0104,0.0027,5dig,73.3,59.7,95.2,92.4
2,76,0.0104,0.0027,6dig,1.1,0.1,65.4,55.0
2,81,0.0091,0.002,id,99.9,100.0,100.0,100.0
